date,x
01/03/2020,1
02/03/2020,1
03/03/2020,1
04/03/2020,1
05/03/2020,1
06/03/2020,1
07/03/2020,1
08/03/2020,1
09/03/2020,1
10/03/2020,1
11/03/2020,1
12/03/2020,0.77
13/03/2020,0.57
14/03/2020,0.67
15/03/2020,0.48
16/03/2020,0.48
17/03/2020,0.46
18/03/2020,0.44
19/03/2020,0.42
20/03/2020,0.41
21/03/2020,0.57
22/03/2020,0.41
23/03/2020,0.37
24/03/2020,0.37
25/03/2020,0.38
26/03/2020,0.38
27/03/2020,0.37
28/03/2020,0.5
29/03/2020,0.41
30/03/2020,0.4
31/03/2020,0.45
01/04/2020,0.42
02/04/2020,0.37
03/04/2020,0.41
04/04/2020,0.53
05/04/2020,0.41
06/04/2020,0.48
07/04/2020,0.5
08/04/2020,0.43
09/04/2020,0.39
10/04/2020,0.39
11/04/2020,0.39
12/04/2020,0.46
13/04/2020,0.32
14/04/2020,0.44
15/04/2020,0.5
16/04/2020,0.46
17/04/2020,0.48
18/04/2020,0.67
19/04/2020,0.59
20/04/2020,0.55
21/04/2020,0.58
22/04/2020,0.55
23/04/2020,0.54
24/04/2020,0.49
25/04/2020,0.67
26/04/2020,0.55
27/04/2020,0.49
28/04/2020,0.54
29/04/2020,0.56
30/04/2020,0.54
01/05/2020,0.36
02/05/2020,0.7
03/05/2020,0.57
04/05/2020,0.57
05/05/2020,0.62
06/05/2020,0.61
07/05/2020,0.59
08/05/2020,0.59
09/05/2020,0.75
10/05/2020,0.45
11/05/2020,0.6
12/05/2020,0.6
13/05/2020,0.63
14/05/2020,0.63
15/05/2020,0.62
16/05/2020,0.7
17/05/2020,0.7
18/05/2020,0.63
19/05/2020,0.68
20/05/2020,0.72
21/05/2020,0.47
22/05/2020,0.56
23/05/2020,0.65
24/05/2020,0.58
25/05/2020,0.68
26/05/2020,0.67
27/05/2020,0.68
28/05/2020,0.68
29/05/2020,0.71
30/05/2020,0.85
31/05/2020,0.74
01/06/2020,0.58
02/06/2020,0.76
03/06/2020,0.72
04/06/2020,0.67
05/06/2020,0.6
06/06/2020,0.65
07/06/2020,0.57
08/06/2020,0.68
09/06/2020,0.71
10/06/2020,0.7
11/06/2020,0.72
12/06/2020,0.75
13/06/2020,0.92
14/06/2020,0.8
15/06/2020,0.78
16/06/2020,0.78
17/06/2020,0.77
18/06/2020,0.78
19/06/2020,0.78
20/06/2020,0.89
21/06/2020,0.61
22/06/2020,0.71
23/06/2020,0.8
24/06/2020,0.77
25/06/2020,0.75
26/06/2020,0.75
27/06/2020,0.91
28/06/2020,0.62
29/06/2020,0.69
30/06/2020,0.66
01/07/2020,0.71
02/07/2020,0.68
03/07/2020,0.66
04/07/2020,0.87
05/07/2020,0.6
06/07/2020,0.63
07/07/2020,0.62
08/07/2020,0.65
09/07/2020,0.64
10/07/2020,0.63
11/07/2020,0.85
12/07/2020,0.76
13/07/2020,0.64
14/07/2020,0.55
15/07/2020,0.63
16/07/2020,0.63
17/07/2020,0.63
18/07/2020,0.77
19/07/2020,0.64
20/07/2020,0.67
21/07/2020,0.64
22/07/2020,0.65
23/07/2020,0.64
24/07/2020,0.64
25/07/2020,0.89
26/07/2020,0.61
27/07/2020,0.66
28/07/2020,0.57
29/07/2020,0.6
30/07/2020,0.64
31/07/2020,0.65
01/08/2020,0.89
02/08/2020,0.69
03/08/2020,0.69
04/08/2020,0.69
05/08/2020,0.58
06/08/2020,0.65
07/08/2020,0.67
08/08/2020,0.88
09/08/2020,0.8
10/08/2020,0.68
11/08/2020,0.69
12/08/2020,0.69
13/08/2020,0.65
14/08/2020,0.68
15/08/2020,0.85
16/08/2020,0.77
17/08/2020,0.7
18/08/2020,0.72
19/08/2020,0.69
20/08/2020,0.68
21/08/2020,0.63
22/08/2020,0.73
23/08/2020,0.72
24/08/2020,0.7
25/08/2020,0.71
26/08/2020,0.68
27/08/2020,0.68
28/08/2020,0.69
29/08/2020,0.76
30/08/2020,0.73
31/08/2020,0.69
01/09/2020,0.72
02/09/2020,0.69
03/09/2020,0.66
04/09/2020,0.69
05/09/2020,0.75
06/09/2020,0.72
07/09/2020,0.66
08/09/2020,0.68
09/09/2020,0.63
10/09/2020,0.67
11/09/2020,0.68
12/09/2020,0.74
13/09/2020,0.73
14/09/2020,0.7
15/09/2020,0.7
16/09/2020,0.67
17/09/2020,0.68
18/09/2020,0.7
19/09/2020,0.78
20/09/2020,0.74
21/09/2020,0.59
22/09/2020,0.58
23/09/2020,0.52
24/09/2020,0.53
25/09/2020,0.57
26/09/2020,0.54
27/09/2020,0.6
28/09/2020,0.53
29/09/2020,0.5
30/09/2020,0.51
01/10/2020,0.54
02/10/2020,0.58
03/10/2020,0.66
04/10/2020,0.6
05/10/2020,0.67
06/10/2020,0.62
07/10/2020,0.62
08/10/2020,0.62
09/10/2020,0.65
10/10/2020,0.61
11/10/2020,0.7
12/10/2020,0.66
13/10/2020,0.65
14/10/2020,0.62
15/10/2020,0.61
16/10/2020,0.63
17/10/2020,0.67
18/10/2020,0.66
19/10/2020,0.63
20/10/2020,0.59
21/10/2020,0.58
22/10/2020,0.59
23/10/2020,0.62
24/10/2020,0.65
25/10/2020,0.58
26/10/2020,0.6
27/10/2020,0.57
28/10/2020,0.58
29/10/2020,0.58
30/10/2020,0.58
31/10/2020,0.62
01/11/2020,1.05
02/11/2020,1.09
03/11/2020,1.07
04/11/2020,1.09
05/11/2020,1.09
06/11/2020,1.09
07/11/2020,1.05
08/11/2020,1.05
09/11/2020,1.11
10/11/2020,1.11
11/11/2020,1.12
12/11/2020,1.11
13/11/2020,1.12
14/11/2020,1.06
15/11/2020,1.08
16/11/2020,1.11
17/11/2020,1.11
18/11/2020,1.11
19/11/2020,1.11
20/11/2020,1.1
21/11/2020,1.06
22/11/2020,1.06
23/11/2020,1.1
24/11/2020,1.1
25/11/2020,1.11
26/11/2020,1.1
27/11/2020,1.1
28/11/2020,1.06
29/11/2020,1.07
30/11/2020,1.11
01/12/2020,1.09
02/12/2020,1.11
03/12/2020,1.12
04/12/2020,1.11
05/12/2020,1.06
06/12/2020,1.07
07/12/2020,1.11
08/12/2020,1.1
09/12/2020,1.1
10/12/2020,1.1
11/12/2020,1.1
12/12/2020,1.05
13/12/2020,1.06
14/12/2020,1.11
15/12/2020,1.1
16/12/2020,1.1
17/12/2020,1.11
18/12/2020,1.11
19/12/2020,1.06
20/12/2020,1.07
21/12/2020,1.11
22/12/2020,1.11
23/12/2020,1.14
24/12/2020,1.2
25/12/2020,1.24
26/12/2020,1.08
27/12/2020,1.08
28/12/2020,1.18
29/12/2020,1.17
30/12/2020,1.17
31/12/2020,1.21
01/01/2021,1.25
02/01/2021,1.05
03/01/2021,1.06
04/01/2021,1.14
05/01/2021,1.13
06/01/2021,1.15
07/01/2021,1.15
08/01/2021,1.15
09/01/2021,1.09
10/01/2021,1.08
11/01/2021,1.14
12/01/2021,1.13
13/01/2021,1.14
14/01/2021,1.14
15/01/2021,1.13
16/01/2021,1.08
17/01/2021,1.08
18/01/2021,1.13
19/01/2021,1.12
20/01/2021,1.13
21/01/2021,1.13
22/01/2021,1.12
23/01/2021,1.08
24/01/2021,1.08
25/01/2021,1.15
26/01/2021,1.14
27/01/2021,1.15
28/01/2021,1.16
29/01/2021,1.15
30/01/2021,1.09
31/01/2021,1.08
01/02/2021,1.15
02/02/2021,1.14
03/02/2021,1.13
04/02/2021,1.13
05/02/2021,1.13
06/02/2021,1.07
07/02/2021,1.07
08/02/2021,1.13
09/02/2021,1.12
10/02/2021,1.13
11/02/2021,1.12
12/02/2021,1.12
13/02/2021,1.06
14/02/2021,1.05
15/02/2021,1.13
16/02/2021,1.12
17/02/2021,1.13
18/02/2021,1.12
19/02/2021,1.11
20/02/2021,1.06
21/02/2021,1.07
22/02/2021,1.12
23/02/2021,1.1
24/02/2021,1.11
25/02/2021,1.11
26/02/2021,1.1
27/02/2021,1.04
28/02/2021,1.02
01/03/2021,1.1
02/03/2021,1.09
03/03/2021,1.11
04/03/2021,1.11
05/03/2021,1.11
06/03/2021,1.06
07/03/2021,1.05
08/03/2021,1.11
09/03/2021,1.11
10/03/2021,1.13
