date,x
01/03/2020,1
02/03/2020,1
03/03/2020,1
04/03/2020,1
05/03/2020,1
06/03/2020,1
07/03/2020,1
08/03/2020,1
09/03/2020,1
10/03/2020,1
11/03/2020,1
12/03/2020,0.68
13/03/2020,0.48
14/03/2020,0.45
15/03/2020,0.3
16/03/2020,0.39
17/03/2020,0.36
18/03/2020,0.36
19/03/2020,0.35
20/03/2020,0.36
21/03/2020,0.43
22/03/2020,0.34
23/03/2020,0.33
24/03/2020,0.32
25/03/2020,0.33
26/03/2020,0.34
27/03/2020,0.35
28/03/2020,0.4
29/03/2020,0.35
30/03/2020,0.38
31/03/2020,0.39
01/04/2020,0.37
02/04/2020,0.34
03/04/2020,0.39
04/04/2020,0.43
05/04/2020,0.33
06/04/2020,0.43
07/04/2020,0.43
08/04/2020,0.38
09/04/2020,0.34
10/04/2020,0.33
11/04/2020,0.34
12/04/2020,0.41
13/04/2020,0.28
14/04/2020,0.38
15/04/2020,0.45
16/04/2020,0.42
17/04/2020,0.46
18/04/2020,0.56
19/04/2020,0.53
20/04/2020,0.51
21/04/2020,0.52
22/04/2020,0.5
23/04/2020,0.5
24/04/2020,0.46
25/04/2020,0.54
26/04/2020,0.5
27/04/2020,0.43
28/04/2020,0.48
29/04/2020,0.49
30/04/2020,0.49
01/05/2020,0.34
02/05/2020,0.58
03/05/2020,0.48
04/05/2020,0.52
05/05/2020,0.53
06/05/2020,0.57
07/05/2020,0.53
08/05/2020,0.57
09/05/2020,0.65
10/05/2020,0.43
11/05/2020,0.56
12/05/2020,0.52
13/05/2020,0.56
14/05/2020,0.57
15/05/2020,0.59
16/05/2020,0.58
17/05/2020,0.72
18/05/2020,0.57
19/05/2020,0.6
20/05/2020,0.66
21/05/2020,0.43
22/05/2020,0.53
23/05/2020,0.56
24/05/2020,0.53
25/05/2020,0.63
26/05/2020,0.62
27/05/2020,0.63
28/05/2020,0.65
29/05/2020,0.69
30/05/2020,0.78
31/05/2020,0.71
01/06/2020,0.52
02/06/2020,0.68
03/06/2020,0.68
04/06/2020,0.64
05/06/2020,0.65
06/06/2020,0.6
07/06/2020,0.53
08/06/2020,0.63
09/06/2020,0.67
10/06/2020,0.66
11/06/2020,0.71
12/06/2020,0.76
13/06/2020,0.83
14/06/2020,0.74
15/06/2020,0.74
16/06/2020,0.73
17/06/2020,0.74
18/06/2020,0.77
19/06/2020,0.8
20/06/2020,0.79
21/06/2020,0.58
22/06/2020,0.66
23/06/2020,0.73
24/06/2020,0.75
25/06/2020,0.75
26/06/2020,0.77
27/06/2020,0.82
28/06/2020,0.57
29/06/2020,0.65
30/06/2020,0.63
01/07/2020,0.65
02/07/2020,0.63
03/07/2020,0.61
04/07/2020,0.74
05/07/2020,0.51
06/07/2020,0.58
07/07/2020,0.56
08/07/2020,0.59
09/07/2020,0.59
10/07/2020,0.57
11/07/2020,0.7
12/07/2020,0.64
13/07/2020,0.57
14/07/2020,0.49
15/07/2020,0.54
16/07/2020,0.56
17/07/2020,0.57
18/07/2020,0.59
19/07/2020,0.53
20/07/2020,0.56
21/07/2020,0.55
22/07/2020,0.55
23/07/2020,0.56
24/07/2020,0.57
25/07/2020,0.7
26/07/2020,0.5
27/07/2020,0.58
28/07/2020,0.51
29/07/2020,0.53
30/07/2020,0.6
31/07/2020,0.61
01/08/2020,0.74
02/08/2020,0.56
03/08/2020,0.64
04/08/2020,0.65
05/08/2020,0.57
06/08/2020,0.63
07/08/2020,0.66
08/08/2020,0.76
09/08/2020,0.7
10/08/2020,0.64
11/08/2020,0.66
12/08/2020,0.66
13/08/2020,0.62
14/08/2020,0.65
15/08/2020,0.7
16/08/2020,0.66
17/08/2020,0.66
18/08/2020,0.65
19/08/2020,0.63
20/08/2020,0.62
21/08/2020,0.6
22/08/2020,0.63
23/08/2020,0.63
24/08/2020,0.62
25/08/2020,0.63
26/08/2020,0.62
27/08/2020,0.61
28/08/2020,0.64
29/08/2020,0.68
30/08/2020,0.61
31/08/2020,0.62
01/09/2020,0.65
02/09/2020,0.62
03/09/2020,0.62
04/09/2020,0.66
05/09/2020,0.69
06/09/2020,0.62
07/09/2020,0.62
08/09/2020,0.64
09/09/2020,0.62
10/09/2020,0.63
11/09/2020,0.65
12/09/2020,0.68
13/09/2020,0.61
14/09/2020,0.66
15/09/2020,0.66
16/09/2020,0.62
17/09/2020,0.63
18/09/2020,0.69
19/09/2020,0.71
20/09/2020,0.59
21/09/2020,0.57
22/09/2020,0.55
23/09/2020,0.53
24/09/2020,0.54
25/09/2020,0.59
26/09/2020,0.5
27/09/2020,0.48
28/09/2020,0.52
29/09/2020,0.48
30/09/2020,0.49
01/10/2020,1.1
02/10/2020,1.1
03/10/2020,1.01
04/10/2020,1.04
05/10/2020,1.08
06/10/2020,1.1
07/10/2020,1.1
08/10/2020,1.09
09/10/2020,1.08
10/10/2020,1.05
11/10/2020,1.04
12/10/2020,1.09
13/10/2020,1.09
14/10/2020,1.09
15/10/2020,1.09
16/10/2020,1.08
17/10/2020,1.02
18/10/2020,1.02
19/10/2020,1.09
20/10/2020,1.11
21/10/2020,1.1
22/10/2020,1.1
23/10/2020,1.08
24/10/2020,1.02
25/10/2020,1.05
26/10/2020,1.1
27/10/2020,1.11
28/10/2020,1.11
29/10/2020,1.12
30/10/2020,1.13
31/10/2020,1.04
01/11/2020,1.06
02/11/2020,1.14
03/11/2020,1.13
04/11/2020,1.14
05/11/2020,1.15
06/11/2020,1.14
07/11/2020,1.06
08/11/2020,1.06
09/11/2020,1.16
10/11/2020,1.17
11/11/2020,1.18
12/11/2020,1.17
13/11/2020,1.17
14/11/2020,1.07
15/11/2020,1.1
16/11/2020,1.17
17/11/2020,1.17
18/11/2020,1.17
19/11/2020,1.17
20/11/2020,1.16
21/11/2020,1.08
22/11/2020,1.08
23/11/2020,1.16
24/11/2020,1.16
25/11/2020,1.17
26/11/2020,1.16
27/11/2020,1.15
28/11/2020,1.06
29/11/2020,1.08
30/11/2020,1.16
01/12/2020,1.15
02/12/2020,1.17
03/12/2020,1.17
04/12/2020,1.17
05/12/2020,1.07
06/12/2020,1.07
07/12/2020,1.16
08/12/2020,1.16
09/12/2020,1.16
10/12/2020,1.16
11/12/2020,1.16
12/12/2020,1.06
13/12/2020,1.07
14/12/2020,1.16
15/12/2020,1.15
16/12/2020,1.15
17/12/2020,1.16
18/12/2020,1.16
19/12/2020,1.06
20/12/2020,1.07
21/12/2020,1.15
22/12/2020,1.14
23/12/2020,1.14
24/12/2020,1.19
25/12/2020,1.24
26/12/2020,1.07
27/12/2020,1.07
28/12/2020,1.18
29/12/2020,1.18
30/12/2020,1.18
31/12/2020,1.21
01/01/2021,1.26
02/01/2021,1.05
03/01/2021,1.07
04/01/2021,1.18
05/01/2021,1.18
06/01/2021,1.2
07/01/2021,1.2
08/01/2021,1.2
09/01/2021,1.1
10/01/2021,1.1
11/01/2021,1.19
12/01/2021,1.18
13/01/2021,1.19
14/01/2021,1.18
15/01/2021,1.18
16/01/2021,1.08
17/01/2021,1.09
18/01/2021,1.17
19/01/2021,1.17
20/01/2021,1.18
21/01/2021,1.19
22/01/2021,1.18
23/01/2021,1.11
24/01/2021,1.11
25/01/2021,1.23
26/01/2021,1.22
27/01/2021,1.23
28/01/2021,1.23
29/01/2021,1.23
30/01/2021,1.11
31/01/2021,1.11
01/02/2021,1.22
02/02/2021,1.21
03/02/2021,1.2
04/02/2021,1.19
05/02/2021,1.19
06/02/2021,1.08
07/02/2021,1.08
08/02/2021,1.18
09/02/2021,1.18
10/02/2021,1.19
11/02/2021,1.18
12/02/2021,1.18
13/02/2021,1.07
14/02/2021,1.06
15/02/2021,1.18
16/02/2021,1.17
17/02/2021,1.19
18/02/2021,1.18
19/02/2021,1.17
20/02/2021,1.08
21/02/2021,1.08
22/02/2021,1.18
23/02/2021,1.16
24/02/2021,1.17
25/02/2021,1.17
26/02/2021,1.16
27/02/2021,1.05
28/02/2021,1.03
01/03/2021,1.17
02/03/2021,1.17
03/03/2021,1.18
04/03/2021,1.18
05/03/2021,1.18
06/03/2021,1.09
07/03/2021,1.07
08/03/2021,1.18
09/03/2021,1.17
10/03/2021,1.21
